index,filename,model,einsteinradius,ellipseratio,orientation,lens,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,Raytrace,35.8061,0.1747,69.5189,SIE,SersicSphere,40.7106,247.4457,27.0572,24.2003,115.8090,1.3369,67.4095,-15.6149,-37.5969
2,image-000002.png,Raytrace,39.7882,0.8221,40.6669,SIE,SersicSphere,30.3706,222.9675,12.9249,36.4731,75.8395,1.0095,75.8342,-22.2234,-20.7000
3,image-000003.png,Raytrace,47.7865,0.8124,111.2469,SIE,SersicSphere,50.2583,285.5573,34.6044,24.5190,75.5693,3.7169,24.3768,13.4794,-48.4169
4,image-000004.png,Raytrace,46.0229,0.2922,106.4327,SIE,SersicSphere,26.4904,20.5620,32.8866,32.6508,107.8245,2.4741,52.7578,24.8028,9.3040
5,image-000005.png,Raytrace,36.3103,0.7251,36.0519,SIE,SersicSphere,3.5065,19.0565,19.2752,29.6171,156.0183,3.1135,27.6039,3.3143,1.1449
6,image-000006.png,Raytrace,53.1216,0.8299,22.8425,SIE,SersicSphere,42.3208,278.3837,16.4427,22.1641,57.2673,4.6647,57.3141,6.1704,-41.8686
7,image-000007.png,Raytrace,35.4087,0.6585,93.6831,SIE,SersicSphere,24.2086,293.5947,23.8449,11.4279,6.9171,3.8407,41.6622,9.6898,-22.1847
8,image-000008.png,Raytrace,32.3661,0.4565,17.2692,SIE,SersicSphere,11.3943,314.1979,12.3442,28.9707,22.5118,2.1535,66.9169,7.9434,-8.1690
9,image-000009.png,Raytrace,48.2785,0.7275,80.8470,SIE,SersicSphere,46.5775,150.9509,7.2465,23.0982,139.9548,2.3018,67.3670,-40.7182,22.6161
10,image-000010.png,Raytrace,33.1271,0.8194,110.9153,SIE,SersicSphere,15.2115,74.6479,34.1602,13.0978,125.0393,1.4446,68.5372,4.0273,14.6688
11,image-000011.png,Raytrace,58.5982,0.2504,105.9609,SIE,SersicSphere,56.9682,66.4876,13.8956,14.8811,103.3062,3.2081,33.8518,22.7273,52.2384
12,image-000012.png,Raytrace,36.3885,0.5219,23.5609,SIE,SersicSphere,21.8369,293.5433,18.2510,38.8039,40.8061,2.5715,29.1473,8.7226,-20.0192
13,image-000013.png,Raytrace,36.2524,0.3180,66.9103,SIE,SersicSphere,12.9727,31.1678,22.4948,2.6289,5.0397,2.2872,23.0805,11.1002,6.7140
14,image-000014.png,Raytrace,47.6441,0.5888,107.0264,SIE,SersicSphere,25.7327,31.5086,12.3535,34.8261,42.5092,2.0175,38.3793,21.9387,13.4486
15,image-000015.png,Raytrace,8.6567,0.2559,133.5392,SIE,SersicSphere,5.6642,141.2416,44.8234,22.2555,170.6903,4.2473,76.1186,-4.4169,3.5460
16,image-000016.png,Raytrace,48.7109,0.2336,158.3409,SIE,SersicSphere,35.2296,235.0452,27.8475,15.9683,17.1605,3.9376,25.4623,-20.1841,-28.8743
17,image-000017.png,Raytrace,47.9351,0.1384,78.4934,SIE,SersicSphere,7.9566,270.9314,7.3000,33.3657,11.3503,3.3065,38.0496,0.1293,-7.9556
18,image-000018.png,Raytrace,58.7332,0.5442,100.8933,SIE,SersicSphere,66.2770,152.8066,5.5958,31.5391,61.0538,2.2050,48.3990,-58.9514,30.2884
19,image-000019.png,Raytrace,39.1900,0.6860,170.9458,SIE,SersicSphere,43.0412,231.9354,5.9518,23.6997,83.5088,2.9223,74.2104,-26.5371,-33.8870
20,image-000020.png,Raytrace,27.5942,0.2549,10.7107,SIE,SersicSphere,28.3836,46.1674,23.3128,32.6864,152.6586,3.7527,46.6238,19.6572,20.4750
21,image-000021.png,Raytrace,28.1633,0.1482,78.8459,SIE,SersicSphere,18.6291,34.5199,47.6309,26.4690,120.0019,4.1091,33.3575,15.3491,10.5570
22,image-000022.png,Raytrace,52.8976,0.2336,111.5998,SIE,SersicSphere,45.2184,6.4826,8.1980,14.6199,61.7480,2.7253,31.8569,44.9293,5.1052
23,image-000023.png,Raytrace,53.3951,0.4226,58.8560,SIE,SersicSphere,52.9785,265.9236,10.8828,19.2324,143.0015,4.2728,36.0740,-3.7661,-52.8444
24,image-000024.png,Raytrace,67.0222,0.4926,146.9865,SIE,SersicSphere,2.8144,298.8391,21.2613,24.7977,3.0968,4.4631,70.0182,1.3575,-2.4653
25,image-000025.png,Raytrace,50.4484,0.1400,19.9345,SIE,SersicSphere,16.7844,201.7573,46.2849,16.5200,169.9164,2.1465,43.9777,-15.5887,-6.2216
26,image-000026.png,Raytrace,29.1419,0.8407,120.0242,SIE,SersicSphere,30.5743,126.9996,13.3496,35.2261,26.2925,4.5892,79.3215,-18.3999,24.4179
27,image-000027.png,Raytrace,5.6726,0.2816,137.5824,SIE,SersicSphere,4.9013,268.8974,37.4391,2.8766,127.8309,2.4839,68.8285,-0.0943,-4.9004
28,image-000028.png,Raytrace,64.2073,0.3141,93.1994,SIE,SersicSphere,60.5193,103.7174,14.5653,12.1121,52.0229,4.0533,77.7230,-14.3511,58.7932
29,image-000029.png,Raytrace,56.7416,0.2832,23.3984,SIE,SersicSphere,31.8926,2.5635,43.7266,19.3727,11.5745,4.9861,45.3356,31.8607,1.4264
30,image-000030.png,Raytrace,73.4336,0.8980,157.2994,SIE,SersicSphere,19.9588,11.1102,35.0540,27.8690,53.8932,4.3295,20.9148,19.5847,3.8460
