filename,sigma,sigma2,theta,xiX,xiY,alpha[0][1],beta[0][1],alpha[1][0],alpha[1][2],beta[1][2],alpha[2][1],beta[2][1],alpha[2][3],beta[2][3],alpha[3][0],alpha[3][2],beta[3][2],alpha[3][4],beta[3][4],alpha[4][1],beta[4][1],alpha[4][3],beta[4][3],alpha[4][5],beta[4][5]
image-001758.png,11.180798,39.884903,60.26117,-52.710686,40.824276,53.94872,-40.2096,-0.3193627,0.13582198,-0.28904137,-0.0041779336,0.003920967,-0.0010639525,-0.00553883,-5.1825016e-05,-1.5265367e-05,0.00011134929,-0.00011445298,-0.00011177152,-2.460033e-06,1.8058217e-06,1.7681741e-06,3.0051942e-06,-6.2122544e-06,-1.0988988e-06
image-008644.png,32.908,29.517164,111.58595,32.43188,-6.3161306,-36.920444,11.841125,-0.3811553,0.25018296,-0.28755495,0.0124566285,-0.0012806837,-0.004655155,0.010996856,-0.00017282116,-0.00044682316,0.00017645319,2.6683778e-05,-0.00060877245,1.5886442e-05,-8.391052e-06,2.390899e-05,-1.8168259e-05,1.38031355e-05,4.1178897e-05
image-006453.png,37.298172,38.649162,177.05095,-1.845398,-1.4029307,1.2665666,1.9168203,-0.15111941,0.05379439,0.14122054,-0.03158483,-0.07868321,-0.031934366,0.06493532,-0.031465996,0.030430825,-0.029543618,-0.04897409,0.017554848,-0.022211567,-0.054190956,0.027517531,0.011773735,-0.04678246,-0.01845216
image-000797.png,23.233747,7.228527,48.611244,-17.585865,-37.157917,17.671724,50.800648,-0.12844765,-0.123958364,0.0336619,-0.0010351483,-0.002102996,-0.0010903189,-0.0019513868,-2.813409e-05,2.3680856e-05,-3.0262783e-05,4.5008655e-05,-3.972175e-05,-7.4109266e-07,-1.5373662e-06,8.7323497e-07,1.9718573e-07,1.7465172e-06,1.3537756e-06
image-008147.png,20.03759,21.719501,171.85744,12.354693,-6.7847776,-20.364931,11.037816,-0.1725664,0.11474758,-0.12888815,0.0046188706,-0.0031081988,-0.0013508728,0.0053268666,-0.000101497106,-7.630273e-05,0.00016606724,-5.8500158e-05,-0.0002713224,9.3282215e-06,-5.4857956e-06,-9.218111e-07,-9.2181035e-06,1.1954951e-05,1.530681e-05
image-007071.png,30.787607,39.127014,148.67966,2.5056708,-1.0542953,-3.6522782,1.7844841,-0.37758762,0.28952387,-0.24238057,0.046567407,-0.049675934,-0.02157642,0.05768991,0.0061747255,-0.013977266,0.02318246,-0.000916797,-0.019895304,0.00012727518,0.010044681,-0.0011735375,-0.0144908,0.0045030536,0.007986112
image-002694.png,6.436306,35.487816,41.012894,-5.0147405,-10.488533,7.7860136,9.596243,-0.18094909,0.13428941,0.121280365,-0.006824579,-0.018750763,0.0014470525,0.013954991,-0.0014409672,0.0014726381,-0.0012804565,-0.000841159,0.0012984087,-0.00018632965,-0.00048428366,0.00023887662,0.000121534205,-0.00020037137,8.169228e-05
image-000512.png,16.004723,11.212814,50.960274,-55.877495,47.850845,53.99793,-45.255108,-0.20317471,0.040248755,-0.19914818,-0.0031183243,0.0026565124,-0.0019380619,-0.0036081863,-5.3939584e-05,-1.1964243e-05,7.3951465e-05,-0.0001192544,-4.8670747e-05,-2.761455e-06,2.3485482e-06,1.0157019e-06,1.6803097e-06,-5.333395e-06,1.6582162e-06
image-008481.png,45.878815,8.9238825,64.289185,-37.42264,44.97971,38.175835,-55.65973,-0.263803,-0.163979,-0.20664681,-0.0028801088,0.0026168944,-0.0036277515,0.00031707383,-2.8575014e-05,3.158886e-06,6.091645e-05,-3.50153e-05,7.218847e-05,-7.189319e-07,1.0999247e-06,1.2688397e-06,8.692623e-07,1.3834069e-06,2.028748e-06
image-003037.png,24.75957,17.422323,146.62643,14.468695,8.322531,-17.364313,-5.669011,-0.25646338,0.25548014,0.02243595,0.014575636,0.01028911,-0.014461713,-0.0051527843,-0.0007432113,-0.00048129653,-0.0010494044,0.0012069149,0.00072306284,0.00014172122,7.829952e-05,-3.523217e-06,0.000111305635,-0.00013480303,-0.000112868554
image-007851.png,47.740685,17.056961,165.8865,31.500753,-37.550594,-41.924835,49.28579,-0.13099298,-0.016167605,-0.12999141,0.000971932,-0.0011812604,0.001272019,0.00084819936,-1.1321332e-05,3.1552481e-06,1.6359325e-05,-2.695745e-05,7.3844676e-06,2.8120667e-07,-3.3924698e-07,-2.3299799e-07,-1.284061e-07,3.0711817e-07,-6.351074e-07
image-007823.png,35.716396,16.418465,14.828712,55.955666,2.664724,-55.1482,-5.188564,-0.3091222,0.29192266,0.101674415,0.008144601,7.809316e-05,-0.0072541283,-0.0035012227,-0.00012720609,-0.00021070812,-1.0616406e-05,0.00027676238,0.00018158054,1.10987385e-05,5.3949043e-07,8.247785e-06,8.8715205e-07,-1.4124553e-05,-1.2429733e-05
image-008491.png,29.686014,9.960008,117.97289,-8.849008,-1.6217105,8.717852,1.6057079,-0.20942496,0.20015684,-0.06161217,-0.025419552,-0.013228804,0.023317672,-0.0049678762,-0.002469403,-0.002184034,-0.0027978295,0.004019895,-0.00072842475,-0.0009875568,-0.0004431962,-0.00017532309,-0.0006088297,0.000924916,-0.00018562727
image-001876.png,43.209793,19.35026,156.45477,-19.69368,11.191146,24.00574,-15.077778,-0.1190235,0.0016161933,-0.119012535,-0.0031128898,0.0013354083,-0.00188717,-0.002560306,-6.266846e-05,-5.907804e-05,6.4217355e-05,-0.00012684481,-3.255678e-05,-5.3858057e-06,2.4223446e-06,-9.729756e-07,3.0678366e-06,-6.6081047e-06,3.2897879e-06
image-000678.png,20.574688,18.181246,32.96705,-2.680001,-4.358732,1.9383941,5.908038,-0.37861383,-0.3679522,0.08921658,-0.046353083,-0.051979363,-0.032397997,-0.048874356,-0.003921088,0.0072849663,-0.012764768,0.0100053325,-0.011167,0.0016190846,-0.002179112,0.005635761,0.0009070278,0.004841521,0.0025081364
image-008892.png,19.029385,10.032082,160.24515,-8.431617,2.176147,58.708378,5.516021,-0.22001433,0.20066233,0.09022715,-0.0027559968,0.0003111706,0.0022928705,0.0013203267,-1.4978228e-05,-4.042602e-05,2.374496e-06,4.0773335e-05,3.1837117e-05,-5.787115e-07,-1.4712168e-07,-9.621417e-07,1.8226274e-09,9.689811e-07,1.0270342e-06
image-008360.png,22.29289,34.64241,131.77977,34.308853,-27.499916,-30.57088,23.884626,-0.29737324,0.07916946,-0.28664094,0.0077450844,-0.00625093,0.0037885532,0.009199803,-0.00018951623,-7.406821e-05,0.00033128183,-0.00045794607,-0.00026406973,1.6578077e-05,-1.3114994e-05,-7.739889e-06,-1.606386e-05,3.8592898e-05,-5.1377065e-06
image-002739.png,5.467428,38.98609,57.833736,9.245422,2.1586826,-13.5117445,-1.5284275,-0.27216923,0.2711782,0.023205183,0.016991407,0.0041950955,-0.016866948,-0.0033365807,-0.00044235337,-0.0012945071,-0.00050060207,0.0017160294,0.0004929234,9.316867e-05,-3.393593e-06,0.00015387221,8.52336e-05,-0.00024268459,-9.092051e-05
