index,filename,model,cluster,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,Raytrace,SIE/-1.6746517454267327/2.787298742352145/7.282689006230872/0.332029480584579/82.33834678673341;SIE/16.778088205207364/-56.36327946665766/72.60474520169785/0.7892018064708473/34.581806629393746,SersicSphere,42.9413,87.5705,24.3978,24.1458,81.5917,1.5542,24.4686,1.8203,42.9027
2,image-000002.png,Raytrace,SIE/-11.832489204012678/-21.283554813396258/22.216979019963382/0.7696287441392883/157.29367442238419;SIE/1.9776966799534978/1.489784614834066/14.110242592589682/0.5508651078649114/161.1843740215723,SersicSphere,15.6550,317.0055,29.4745,27.4530,172.6294,2.1707,59.2671,11.4504,-10.6756
3,image-000003.png,Raytrace,SIE/0.5823335319971145/16.18873151333997/46.239656576698/0.7836369525219687/20.36032867647185;SIE/-1.1050958536053965/-7.868496487163048/13.094212285546945/0.3259983705346624/141.5447650457887,SersicSphere,9.2478,306.3805,47.8676,39.4821,19.5542,2.2344,79.8212,5.4853,-7.4453
4,image-000004.png,Raytrace,SIE/1.3382252128241388/-19.98320152230661/19.024286973623724/0.35390733917957373/146.4235393940514;SIE/-48.67499302735905/-3.3904122129073557/60.72909913870518/0.6398092986488726/12.713700494817225,SersicSphere,20.5053,206.1010,41.8430,15.1483,144.0482,4.8087,23.7862,-18.4142,-9.0214
5,image-000005.png,Raytrace,SIE/3.921345367122618/-5.997075185656617/7.510126617463012/0.5414726736638098/120.09589572477692;SIE/1.0424245105663583/-4.147548094325091/50.0986697097929/0.3761763026464827/124.15475350231553,SersicSphere,41.2426,216.3419,14.3150,23.6414,27.9359,2.4463,21.2382,-33.2207,-24.4405
6,image-000006.png,Raytrace,SIE/10.855212326583485/20.059493198522116/33.27308979237835/0.6989026822456365/85.16514576489375;SIE/-1.3699444024049814/1.4207682646585564/49.02466537502188/0.8620900069845856/147.76827463279866,SersicSphere,29.1168,312.5179,33.6349,6.0289,6.0864,1.5245,31.9453,19.6778,-21.4610
7,image-000007.png,Raytrace,SIE/-12.072948501685197/-5.267172768462417/22.249958092009855/0.516450015680573/160.09470080812054;SIE/-6.024924393879362/-19.69535672487702/20.318893729528018/0.8882375450680062/13.770263325117753,SersicSphere,32.7530,132.2983,6.6682,7.2320,45.3037,1.7893,34.0777,-22.0425,24.2258
8,image-000008.png,Raytrace,SIE/-9.505307066293623/-1.062765483834759/34.32593283020103/0.40353897413275686/39.640456329336736;SIE/-1.1615595578815332/58.98751280213127/49.372342275299715/0.8200433526806957/144.8242942503029,SersicSphere,27.2329,77.6059,10.4070,1.8025,127.8430,1.0656,33.8673,5.8451,26.5982
9,image-000009.png,Raytrace,SIE/2.3631180205349858/46.64360711298979/55.33723345695334/0.4715711827718204/18.827815459237872;SIE/-33.66146116368199/17.96854123217906/69.43177857201692/0.18368320842858685/147.59371062594033,SersicSphere,43.9667,40.6429,31.2186,16.5495,40.9735,3.1812,64.7815,33.3613,28.6374
10,image-000010.png,Raytrace,SIE/63.671411442587754/-22.8228415412953/58.58990749662911/0.725053559742957/159.3727483929576;SIE/-9.368270252327974/-2.6314832161351616/18.49302268266394/0.23112095347717104/76.01564014730323,SersicSphere,56.0784,321.9463,47.5098,8.3454,96.8414,1.2619,42.4663,44.1580,-34.5667
11,image-000011.png,Raytrace,SIE/47.78878898006923/17.822905484527578/61.65165717852357/0.5639017728339552/34.08567624682739;SIE/16.196404262373356/-6.757771694810952/62.04625205649692/0.8785679689591607/129.79684836700625,SersicSphere,11.9018,312.5463,45.7684,32.6750,41.1167,2.0794,42.8934,8.0478,-8.7684
12,image-000012.png,Raytrace,SIE/3.577131456678892/-0.7893507316527721/29.88129368373818/0.5363414964580163/128.2336836433622;SIE/37.84137016372117/11.974990644331394/56.85325367383067/0.7384344395535525/172.17372489266262,SersicSphere,76.2755,117.2731,12.2902,24.8352,102.5186,2.2485,66.6682,-34.9519,67.7961
13,image-000013.png,Raytrace,SIE/8.251551723260057/-16.075586883028162/17.63528106988816/0.5188011631758526/40.58250172634576;SIE/2.1605896048014475/-0.4593251533049795/26.357401313969124/0.7235721081338435/179.04957637152893,SersicSphere,24.8499,207.3652,14.2762,32.3574,5.9573,2.7960,26.7896,-22.0690,-11.4225
14,image-000014.png,Raytrace,SIE/-55.397639421568456/-31.263870062320677/62.84700395206144/0.24213145359715826/80.76280335036517;SIE/39.58969721393728/4.822644136265365/66.81429867722338/0.6580562179157253/126.91620932722148,SersicSphere,21.2989,192.5730,31.3914,33.2106,106.6455,1.5486,22.0721,-20.7882,-4.6364
15,image-000015.png,Raytrace,SIE/76.90389080193795/-32.011323187065294/73.65771006183878/0.899196019334103/32.19529440704225;SIE/-10.340085064901874/-0.8679966064555895/65.45773163811643/0.7915534045825775/54.15567812803577,SersicSphere,13.1622,2.8779,45.1032,26.0735,41.8007,2.7994,33.3876,13.1456,0.6608
16,image-000016.png,Raytrace,SIE/4.984858145978618/6.985488581550656/32.115154414159775/0.833071803076328/50.2353965459501;SIE/-10.940187219549522/10.395180081862692/36.431603281712064/0.8104282910372133/74.85189198613479,SersicSphere,43.9595,123.5749,14.2442,34.3856,85.0211,1.2075,28.2004,-24.3107,36.6255
17,image-000017.png,Raytrace,SIE/-1.085144198389357/-0.04566190337858077/4.847071701851326/0.31937486793325454/78.0895222886627;SIE/-1.2410259072148646/-16.705759776017526/18.431730240342528/0.3569364036671431/177.68662957248696,SersicSphere,7.2471,350.7575,22.2513,22.7981,101.4470,3.9773,24.6416,7.1530,-1.1640
