index,filename,model,cluster,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,Raytrace,SIE/54.7651557358473/-53.65176203248456/72.27090826917848/0.32351772112711497/74.13357532885287;SIE/-0.7293917702103493/-1.9128213273296186/26.19850645573734/0.727435969727385/163.47635379224127,SersicSphere,70.7664,-1.3670,3.9416,3.5335,144.2209,1.1185,59.9228,-69.3024,14.3195
2,image-000002.png,Raytrace,SIE/-6.473000431619679/-3.919849939217132/30.519425596290066/0.44629765616952666/28.44973529379899;SIE/-7.159062346807518/10.132314969889471/69.7319152452711/0.16099574314907728/131.27013279260805,SersicSphere,58.7014,-2.2087,2.8836,6.1357,32.8667,3.1518,28.9741,-47.1562,-34.9593
3,image-000003.png,Raytrace,SIE/5.41422173186049/-3.9472834107701127/24.967307784883726/0.63696509400311/141.58125074434312;SIE/4.766812920552613/-1.9803587002788028/63.31350288769074/0.721672445162158/16.874446629833052,SersicSphere,56.9047,1.5315,1.4989,11.6218,136.5522,3.1376,79.3910,56.8607,2.2382
4,image-000004.png,Raytrace,SIE/20.340265806089775/24.75620451552624/54.98195809152441/0.14181506001661123/121.47916312056059;SIE/0.29037955401542936/-1.7904718665883887/20.608403437434795/0.3475412070436109/66.13006111371097,SersicSphere,55.1273,0.4936,2.7880,19.6814,50.1174,4.6602,80.0102,26.1202,48.5464
5,image-000005.png,Raytrace,SIE/0.37151245551142364/-32.78131470658267/33.26737547738669/0.8652111751863886/74.05760607150788;SIE/-13.70600573893034/-24.559144745379104/35.91924175378562/0.8355461616908013/26.560437735779743,SersicSphere,70.1457,-0.9622,3.9447,13.5767,9.0696,2.8328,75.0883,-57.5497,40.1055
6,image-000006.png,Raytrace,SIE/-22.35230046893721/-11.166786622432204/35.75797254863002/0.4781036812353108/14.913306537444084;SIE/-2.24401664649683/29.82573243101743/50.28202090394325/0.6504139151669456/68.01762061521167,SersicSphere,89.3468,-0.3223,3.5305,14.3455,70.4846,2.4644,31.1369,-28.3031,84.7454
7,image-000007.png,Raytrace,SIE/-16.90674970914173/-0.02588914855285972/64.98203949502826/0.7285605965292375/134.65031433777105;SIE/-12.991962548720231/43.6112915202384/42.074841398345626/0.8215409819972919/71.20938966224051,SersicSphere,71.9425,0.5176,3.9416,20.6136,42.9872,4.9195,23.2286,35.5965,62.5189
8,image-000008.png,Raytrace,SIE/-8.889983767882836/55.990109967925/73.55689295838374/0.10702103109819766/49.75357436612383;SIE/-4.721552692855055/1.544541431362012/40.64108681380162/0.25364707152614274/144.5462511262101,SersicSphere,78.2718,-1.2231,2.8363,35.9930,161.8042,2.7225,30.3913,-73.5878,26.6704
9,image-000009.png,Raytrace,SIE/-1.0529078464522899/9.328005097391916/36.88270703561451/0.7683628802937469/120.9450292262725;SIE/-23.157159395926147/15.797454895006307/71.46004367708983/0.19816891678760068/55.69178629019801,SersicSphere,86.9370,1.5018,3.6753,37.9640,111.6972,1.0024,48.4762,86.7300,5.9956
10,image-000010.png,Raytrace,SIE/44.384660345809394/15.721785315667848/53.13728630354362/0.17057336401742074/100.55849940358081;SIE/-13.797875501062135/3.789749364003275/26.140442007485596/0.32529931125291595/88.13817212228471,SersicSphere,111.6596,2.5686,3.2702,6.1412,28.6441,3.1857,95.4454,60.5361,-93.8256
11,image-000011.png,Raytrace,SIE/-12.9766884578913/32.15860848262167/41.66665872493016/0.4512553773525195/161.52492472978685;SIE/-5.3437996525697375/0.2258084578641872/54.90533641223108/0.8230480333187077/41.00476092467715,SersicSphere,29.7102,0.5741,3.7458,24.5987,173.9262,2.2150,53.6763,16.1349,24.9472
12,image-000012.png,Raytrace,SIE/-4.208559208427937/-10.856051031200991/74.82199447602136/0.5254439501243854/33.96294959122572;SIE/-1.803182111402415/-23.282214486825577/23.625861615744387/0.23067231968982532/92.78465311111,SersicSphere,62.9607,2.5753,3.6854,34.6844,4.8945,1.0605,93.2512,33.7798,-53.1317
13,image-000013.png,Raytrace,SIE/5.813327515027049/2.3772404228367208/59.57362607752616/0.5706538422382762/0.7218093776460921;SIE/-2.09504170070929/-26.37721908646043/38.090641818786054/0.5510793891830094/120.7580351804819,SersicSphere,65.6763,1.2668,1.8184,9.0089,33.0097,1.5154,99.7842,62.6641,19.6619
14,image-000014.png,Raytrace,SIE/-12.220960545765294/27.775027437646727/44.089414356747085/0.21332608850633594/165.72097424650238;SIE/-48.143908847812874/41.56859760569091/60.81041849718547/0.7641506225505634/144.73197678001043,SersicSphere,99.4081,-3.0665,3.0781,7.4765,25.5170,4.0745,43.1902,-7.4552,-99.1282
15,image-000015.png,Raytrace,SIE/15.356995678260638/33.917966644770786/37.63031752458228/0.4237987695905585/71.69936106882858;SIE/-48.62964741908262/-23.222365677685502/61.414700633014306/0.8856208204722178/35.13594313427562,SersicSphere,92.1507,-3.0031,2.2474,1.1819,54.5637,1.9605,66.8038,-12.7252,-91.2679
16,image-000016.png,Raytrace,SIE/-30.940779714007597/-2.342631928443953/64.11315325699906/0.6084832540880457/85.0464712669443;SIE/11.77081081909163/10.025438254359182/31.753390071143357/0.6585883111196271/94.25989726283707,SersicSphere,115.5195,-0.6693,2.9213,5.4547,62.2948,4.3384,86.1262,-71.6758,90.5944
17,image-000017.png,Raytrace,SIE/10.61289335443481/-8.980175339327747/54.79141937262787/0.2906982699088344/160.27787603686153;SIE/-15.458336345106154/-21.716359714321495/47.55166857048138/0.3016969216313779/70.39730860416311,SersicSphere,83.5487,3.1067,2.4158,4.1768,11.4837,4.0380,24.1482,2.9178,-83.4977
18,image-000018.png,Raytrace,SIE/20.447927993032714/-30.631433825773385/32.473390458027325/0.44275867810622815/173.47288054131909;SIE/40.06721139264025/-9.258886065518388/51.58652739851635/0.5126324684844247/154.1457232984504,SersicSphere,75.1337,0.5282,2.5058,17.4652,152.4845,4.4585,72.6176,37.8641,64.8951
19,image-000019.png,Raytrace,SIE/-5.834470917226119/7.713713603017228/22.4018587406924/0.28618363517946466/83.47657832069702;SIE/-54.271608288606/56.15016449121896/71.91647227214929/0.3583516394419205/158.54855837242368,SersicSphere,125.4142,2.3762,1.1696,27.2417,49.6771,3.8308,39.2258,86.8870,-90.4399
20,image-000020.png,Raytrace,SIE/-12.561575425634247/-15.4162559890526/23.390352865602587/0.5051082181846487/102.58559744917277;SIE/9.070526068166261/41.30100956519232/71.28470826122279/0.549966598234912/144.37556511946363,SersicSphere,90.9068,2.6389,1.4895,34.1674,67.6017,3.3003,55.4784,43.8002,-79.6592
21,image-000021.png,Raytrace,SIE/29.54181851994228/-24.13300354898402/34.362998972262474/0.3582031786266999/30.7099852592604;SIE/-4.219022867103662/-6.840034393389481/69.805502908335/0.84760914376314/24.4045172252937,SersicSphere,55.6408,0.1455,3.6826,24.9951,175.5610,1.6064,72.4618,8.0658,55.0530
22,image-000022.png,Raytrace,SIE/33.72217423821692/-8.694289232624072/35.74496349394629/0.502734714171268/170.37087033484192;SIE/1.0473872209714423/20.036575685195118/42.52289093928685/0.3252989882302655/5.387496434180063,SersicSphere,59.1709,1.6536,3.2463,1.7705,110.1331,3.7796,81.8979,58.9683,-4.8926
23,image-000023.png,Raytrace,SIE/-15.88753857067359/5.8490980045642145/21.30425574307062/0.880715191454434/14.756741716402683;SIE/13.941812138790903/70.00763178313206/69.10601412689809/0.4904219682728225/3.4930768556705294,SersicSphere,78.5431,0.0343,1.4380,38.4676,37.9131,3.4483,29.1000,2.6953,78.4969
24,image-000024.png,Raytrace,SIE/-41.56000266561188/35.41515410569888/53.07346035633977/0.11839952079686462/34.075296506723426;SIE/-0.2491003590909227/1.13614392228022/21.619510155624532/0.8131954320008759/109.39910324213895,SersicSphere,70.1237,1.9294,2.9974,39.1064,54.7599,3.5743,90.5444,65.6639,-24.6088
25,image-000025.png,Raytrace,SIE/-36.866910513973835/-29.186771721076692/64.56331158527422/0.670762275137592/98.19951697621295;SIE/44.71237925434739/-3.6296404711974697/72.10498120901102/0.11230454092395536/22.22195655514948,SersicSphere,60.3014,-0.0913,3.8033,24.1407,110.5457,4.9539,32.9020,-5.4987,60.0502
26,image-000026.png,Raytrace,SIE/-17.665966487661453/-17.822972395321003/70.21715718923261/0.6450733052400127/166.671480255309;SIE/43.849739116165274/20.803613218019407/53.65616507480886/0.8720693514726616/112.8728257337648,SersicSphere,57.6392,-2.8644,2.1442,26.2631,161.9950,3.0691,49.5601,-15.7721,-55.4393
27,image-000027.png,Raytrace,SIE/-3.755535196065065/81.74599136126511/74.21402345488505/0.7310565130674196/54.68687781737036;SIE/21.642958059984387/-22.41805475450592/65.07247486255915/0.7826887926230092/3.4854753069912547,SersicSphere,50.2751,-0.9626,1.6101,25.6856,71.8982,2.7790,86.1323,-41.2589,28.7277
28,image-000028.png,Raytrace,SIE/-1.1650862667212838/21.916439119515776/65.79712349631626/0.4731517414364763/130.05580581371277;SIE/-1.606115798894375/-1.3823124608166155/28.321835351702635/0.28884285836636103/132.07474622793725,SersicSphere,116.9135,-2.2253,2.1716,36.3338,41.9623,4.6069,76.2700,-92.7502,-71.1770
29,image-000029.png,Raytrace,SIE/-15.194920035253823/-1.7056979924816864/54.47281931964907/0.7650821646620097/27.65780476187765;SIE/-1.2083166703553991/-0.6196572501502228/33.32350582481459/0.3578562214179499/128.8975584389199,SersicSphere,114.8302,-0.9758,3.3674,29.2140,53.9239,1.4718,96.0563,-95.0958,64.3643
30,image-000030.png,Raytrace,SIE/9.10951240203086/4.1312507704951855/22.91329985727429/0.4257888356635049/53.932639809625;SIE/13.265744720157215/49.97325940172276/57.15231775620385/0.1723449556917851/142.30782495863508,SersicSphere,73.5991,-0.3669,2.7473,5.5030,119.3376,4.3656,30.1297,-26.3995,68.7015
31,image-000031.png,Raytrace,SIE/-20.751165644685475/-20.605483987042934/55.90722913018453/0.7410439481999831/76.72432738024084;SIE/-29.744436404982643/-41.75237459425341/73.51664566770583/0.8770563928616393/172.50252904137352,SersicSphere,39.2151,-2.8304,1.9471,15.4864,149.9127,1.7000,53.3529,-12.0065,-37.3318
32,image-000032.png,Raytrace,SIE/38.20853123234639/8.828804260670353/46.86469788244776/0.6912035178177646/61.298775142835275;SIE/-15.674294050010412/3.705707847152919/51.157736993677716/0.7616516376974477/61.08892093887104,SersicSphere,37.0001,1.4324,1.7340,11.1238,122.2067,1.8438,76.1317,36.6462,5.1059
33,image-000033.png,Raytrace,SIE/3.514641556703667/-6.018651409148998/54.577289182601675/0.8808559538282593/82.91498893885662;SIE/1.319135197978106/2.174564788703533/37.94925660131491/0.4600924112096485/164.41367287743324,SersicSphere,62.4617,-1.0108,2.8304,19.6879,90.3318,3.0349,51.4156,-52.9218,33.1775
34,image-000034.png,Raytrace,SIE/58.706596447227895/29.59139746777638/55.801124218675064/0.6741914098350975/106.11836241041728;SIE/11.383905180577335/8.209292870414908/34.02730618191151/0.6293072738035368/89.48113580534059,SersicSphere,69.7895,-0.0605,3.6250,14.6044,52.1647,2.3172,39.4697,-4.2206,69.6617
35,image-000035.png,Raytrace,SIE/1.0812803934142048/2.0795605483247686/74.94589728284923/0.5355812350090042/161.26049075884242;SIE/-46.711396523442694/16.883840261726647/46.369786040353375/0.7508107970061996/19.138903354612673,SersicSphere,60.8429,-2.6936,2.9865,3.6139,155.4457,3.9694,28.6409,-26.3554,-54.8385
36,image-000036.png,Raytrace,SIE/9.699960197803563/-32.24450028785881/68.66115415276539/0.7919518427084086/35.76895411310394;SIE/-14.410789669344233/-4.672690699091915/23.5840392685243/0.44511453219631525/34.13001614571536,SersicSphere,98.0509,-2.6891,3.1037,28.6042,27.8888,3.4259,93.3424,-42.8672,-88.1838
37,image-000037.png,Raytrace,SIE/37.22784641754469/-22.41450016528708/58.83436313000276/0.5230312372258351/11.407138102699307;SIE/49.25774323111597/-23.555812645989942/61.986511527945545/0.4476608736969999/143.89295924076544,SersicSphere,70.1758,1.1093,2.2364,24.3053,1.0497,3.8627,20.1698,62.8345,31.2485
38,image-000038.png,Raytrace,SIE/-5.404744755231109/-3.3006145528104667/23.296149265204672/0.6602428793303465/154.36754554662107;SIE/-53.45325009438687/-17.209961650687134/66.47114640075614/0.844566763199584/43.00944203021078,SersicSphere,76.4351,2.5074,1.2340,13.7690,78.4331,4.3832,66.1930,45.2898,-61.5724
39,image-000039.png,Raytrace,SIE/-48.988820196998624/-30.601212190084485/54.34503989705786/0.25754639712809313/86.9232077305469;SIE/-2.914765222719776/-18.488339674740594/56.02247926523303/0.3937211822681411/26.84017407359677,SersicSphere,37.2174,2.5638,2.9354,27.7040,129.6080,4.3326,33.4523,20.3277,-31.1756
40,image-000040.png,Raytrace,SIE/-10.537538916603733/-11.538998072731696/27.007713723687335/0.713493128012789/72.51627395417705;SIE/-6.696815296307522/20.470652542793662/40.3956185276731/0.599909491325583/31.073990133872,SersicSphere,50.6287,-3.1272,3.3038,19.1577,164.4263,1.5064,27.6076,-0.7295,-50.6235
41,image-000041.png,Raytrace,SIE/14.70801618256146/10.122511490485188/69.13957807336374/0.7762171476523797/102.39704605050623;SIE/-21.64586646273219/44.72771247815896/61.33871036416344/0.8352026961753684/164.3605176958633,SersicSphere,87.1938,-2.6847,2.4509,2.1781,73.8415,1.7548,45.4254,-38.4697,-78.2486
42,image-000042.png,Raytrace,SIE/-15.023131908676689/46.94004336558508/68.93890889435175/0.7869096899054657/10.598845502644004;SIE/12.353659138838609/15.263217854853412/58.675993224249055/0.2272090892960372/53.868137510993876,SersicSphere,102.8268,-2.4712,3.7836,7.9733,178.1026,2.4000,66.8736,-63.8894,-80.5698
43,image-000043.png,Raytrace,SIE/-16.671573457415374/14.022215359911488/30.01604081178997/0.49999424342516363/39.65970424610302;SIE/19.817924454019717/-40.91276024044294/61.154274890885254/0.4605179188166959/94.25605958698729,SersicSphere,111.5176,0.9793,3.9898,37.3906,40.6060,4.6741,28.9789,92.5693,62.1861
44,image-000044.png,Raytrace,SIE/7.162501409670668/-7.57858184670699/64.51401813161036/0.22963207654296955/44.4823718465454;SIE/10.84745149661878/7.740548569636211/61.15869827884081/0.7101859295407111/81.49280728398487,SersicSphere,105.3991,1.0375,1.7837,26.6901,37.1386,2.9145,28.9103,90.7650,53.5788
45,image-000045.png,Raytrace,SIE/12.931082284862676/3.938665253783743/53.51050478050439/0.7360512690342059/170.84039676540388;SIE/-1.217008596599883/11.487081704530711/40.04774775156178/0.2510768880486392/151.7370763170625,SersicSphere,91.0441,-2.1129,2.2555,37.7670,155.9606,3.6972,47.5139,-77.9925,-46.9701
46,image-000046.png,Raytrace,SIE/56.71856466076226/-1.0711627948013256/54.14307083836533/0.6497705163249159/137.08201798329767;SIE/-30.575056836939257/51.33806279566631/71.7546654209252/0.1525276050382166/128.26134562790077,SersicSphere,134.1990,-0.7789,2.7876,35.7294,92.5175,3.2735,59.7706,-94.2709,95.5111
47,image-000047.png,Raytrace,SIE/8.146426488975736/24.976513846227757/39.4693573453309/0.2723985084028614/159.94529845161037;SIE/-0.859622404052349/2.15580599710502/52.74752186807274/0.47834111213184705/57.9325069846086,SersicSphere,66.1341,-2.0033,2.5279,30.4102,72.3364,4.3817,56.3706,-60.0450,-27.7185
48,image-000048.png,Raytrace,SIE/-26.214544123940527/-14.209075911824291/47.18522340173163/0.6652537771979966/128.53657839522737;SIE/-19.793165568838287/1.9954883866269253/20.00555959048013/0.8783105894924994/92.62057518390027,SersicSphere,55.6177,-3.0811,1.8046,3.2089,128.7088,3.9451,58.4979,-3.3629,-55.5159
49,image-000049.png,Raytrace,SIE/-71.17555677957189/-48.59378604480811/73.45958075624736/0.1477982108251947/122.42754360154947;SIE/0.4562843529749095/61.779422355478374/52.77962060323286/0.3594683115528441/134.29988334521582,SersicSphere,99.2021,2.7041,1.9468,25.0643,116.2272,4.8516,73.9533,42.0256,-89.8604
50,image-000050.png,Raytrace,SIE/-25.426135350754265/-11.358646799878084/25.788762790019636/0.2831203263388158/58.36372005524632;SIE/-16.898442814985064/-12.282498726445256/21.468518532484513/0.760613170020822/166.8866037258614,SersicSphere,53.8151,1.0084,2.1245,1.7356,162.2599,3.8422,30.2356,45.5271,28.6941
51,image-000051.png,Raytrace,SIE/0.19314630844593692/0.1552299003894588/69.27737628716667/0.19601031139666925/173.64946112352987;SIE/8.48633973994353/54.53915705612702/65.94328937229321/0.36745796449442547/1.7150115203354699,SersicSphere,117.7683,0.6803,3.7708,21.0908,32.5549,1.6432,63.0989,74.0772,91.5530
52,image-000052.png,Raytrace,SIE/-54.61524568706532/17.873177598909482/53.31527701058804/0.4646286498440557/60.784296170760705;SIE/-38.54702155352856/-42.87220296179318/61.09118682580106/0.8084309426760818/156.04588521302,SersicSphere,99.8676,-2.1799,1.8732,26.0779,6.9114,2.4056,20.6225,-81.9054,-57.1406
53,image-000053.png,Raytrace,SIE/-50.13767364954124/-11.350314937161047/43.214934396204235/0.20307650661729398/99.54045513393147;SIE/-51.03856375673449/-14.488693509319747/66.33685562103958/0.8472590362012233/117.20199137108298,SersicSphere,112.5834,1.0090,3.6585,12.5614,4.9624,4.9854,82.2766,95.2811,59.9709
54,image-000054.png,Raytrace,SIE/20.81926153166992/-5.066336648470709/21.425458515998358/0.5732269856440831/26.913196270078203;SIE/0.4743492719234417/-0.6385528985672652/59.47440653955634/0.40486162327214537/108.29257532730273,SersicSphere,86.3488,0.6267,1.0764,22.0517,56.4749,1.3512,44.0127,50.6409,69.9401
55,image-000055.png,Raytrace,SIE/-1.0587320870736738/5.07219416092813/50.01183614403598/0.7088463208577085/7.233597000165945;SIE/-57.82198680904262/39.28483077448608/69.39751895661546/0.6114254703283071/103.99156941611265,SersicSphere,141.2135,2.3566,1.0450,11.1402,24.3274,2.5805,24.5972,99.8126,-99.8934
56,image-000056.png,Raytrace,SIE/12.884396064833181/29.69960682998373/55.08195625092156/0.7672998624404368/2.8590967306528525;SIE/-3.2217538770555065/-4.7093116778589446/31.27271159601077/0.37473459392715347/69.18675730649512,SersicSphere,40.3493,-0.2248,1.5324,9.8149,148.2397,2.0402,81.6877,-8.9949,39.3340
57,image-000057.png,Raytrace,SIE/0.23546120334605075/29.954538198963377/26.81249609061624/0.8285858656308386/11.936405349101122;SIE/13.617763393419292/-10.356999371895375/38.723101228154036/0.8069560177560106/64.21827004184892,SersicSphere,114.8647,-0.8409,3.3775,12.7157,72.3706,3.4019,59.0319,-85.6034,76.5896
58,image-000058.png,Raytrace,SIE/-21.81256602529567/74.6951496031907/66.48681369234447/0.3906182963744692/137.3845678176623;SIE/25.5326648412804/-14.909741742389146/38.248046826676614/0.1259921805394396/106.40694715514628,SersicSphere,96.2451,1.4301,2.5424,8.1275,30.0564,4.7602,76.8238,95.2944,13.4944
59,image-000059.png,Raytrace,SIE/24.436300666550988/4.697472019659434/55.57803608615736/0.8182238240660028/111.87981015210885;SIE/-2.7751395652990793/-0.7197014098578804/22.053008731473362/0.11645673846644762/80.07586427829509,SersicSphere,48.4701,-2.4715,3.2784,38.0695,37.4073,2.4719,84.4005,-30.1009,-37.9906
60,image-000060.png,Raytrace,SIE/0.23037008122458846/9.516515914101902/46.785634979314494/0.2810591051911695/65.36073643034776;SIE/12.199162972235571/-14.186381814284665/29.050089501709216/0.8043127000092354/160.31111179932358,SersicSphere,74.7858,-1.0951,1.0128,6.1617,89.9552,2.9696,74.1966,-66.4816,34.2508
61,image-000061.png,Raytrace,SIE/-23.924697407995186/-27.14962083763775/54.10707868504109/0.6258661514019772/94.26862860684366;SIE/3.661840102968102/42.93990350164104/40.58887160232078/0.8931585544957628/3.4471629334434972,SersicSphere,90.1339,-2.1338,2.6869,13.2142,104.9234,4.4028,94.0119,-76.2242,-48.1041
62,image-000062.png,Raytrace,SIE/7.14779633776192/17.375157414484814/28.939419552993954/0.7665553386192859/131.72500968328455;SIE/1.9049267341912812/-13.047287161258483/28.027888992586057/0.36502580080701275/121.30750256875486,SersicSphere,120.0307,-2.2129,1.6397,22.5505,80.1056,4.2271,74.7444,-96.1251,-71.8841
63,image-000063.png,Raytrace,SIE/44.63018045906194/-4.457256851430271/37.42656175781383/0.24082506289644476/41.012155256804064;SIE/-13.54855578639175/-3.877767902700788/47.78343471928706/0.7252741581511993/155.51034305555163,SersicSphere,103.6434,2.7955,1.9478,4.3694,27.4969,3.2305,45.6579,35.1542,-97.4994
64,image-000064.png,Raytrace,SIE/-20.27225423023471/20.98706691427069/62.19108692375957/0.8296154626420262/25.86855041209978;SIE/-49.008568339933895/-3.4560166939943255/73.07104259541698/0.35526188633596156/60.67059595163586,SersicSphere,50.8870,0.8187,3.1195,9.8831,170.6946,4.2527,91.1700,37.1610,34.7642
65,image-000065.png,Raytrace,SIE/0.08270065740163356/0.02258756653058012/26.210452770887514/0.5472329222757418/36.61894010318784;SIE/9.532334456730618/12.138970693655253/61.65534354456654/0.899092741916488/101.33763188969571,SersicSphere,43.7164,-0.9719,1.7260,34.7388,53.3850,3.9364,24.2206,-36.1082,24.6439
66,image-000066.png,Raytrace,SIE/-1.510435932050949/-23.612110647451445/22.73454625029455/0.5195311328307761/105.43141622146935;SIE/4.197522481117257/2.605786357654028/74.22988828354625/0.8636819172279588/104.38647326291634,SersicSphere,122.3730,2.3714,3.5835,26.8219,159.0931,1.8925,46.6721,85.2011,-87.8404
67,image-000067.png,Raytrace,SIE/32.14559883479954/73.13767237790807/67.93959113321614/0.12390719291143465/155.82985094795174;SIE/-5.156109437375503/2.7291397173254315/31.08274523765321/0.5251534020976518/84.31850564093429,SersicSphere,54.1398,-1.8983,2.7924,22.2783,61.2081,3.3242,97.0014,-51.2627,-17.4140
68,image-000068.png,Raytrace,SIE/-33.722169541138214/14.476643610313099/41.282996148930096/0.12716393946269244/45.059275625831965;SIE/-1.0547482385864035/-5.076842289333843/20.536622627852925/0.6708702419319189/138.70040198381253,SersicSphere,45.4343,-2.4851,1.2556,10.0682,121.9543,4.0372,39.6676,-27.7290,-35.9914
69,image-000069.png,Raytrace,SIE/-5.143849096981986/45.751765677181425/66.04854563096401/0.7877474131159948/140.5514405862757;SIE/-12.77646248095282/9.343363840509937/71.53294486568517/0.5992535245503651/177.13992385401306,SersicSphere,109.4162,-2.1009,1.4282,33.3722,128.7831,4.3266,59.6797,-94.4012,-55.3202
70,image-000070.png,Raytrace,SIE/30.748945157062817/-6.551176719540019/64.0113739921425/0.3540211034894103/101.21047679398826;SIE/-31.906594795394277/19.309950660697442/33.95279299882151/0.7355605634993191/102.71813257244415,SersicSphere,88.6825,-3.1276,1.7872,37.0575,69.1983,1.1231,31.7389,-1.2428,-88.6737
71,image-000071.png,Raytrace,SIE/-36.13512098387735/-2.729915509798159/34.756552300961715/0.47543091936185744/78.04727459454068;SIE/-11.739581447358836/-6.403953536024287/24.842422883786895/0.11279517963990485/0.09909000539382706,SersicSphere,18.2039,2.2511,1.3598,24.0203,54.4161,3.8488,97.3906,14.1508,-11.4514
72,image-000072.png,Raytrace,SIE/-35.86407746245026/70.9417888393746/74.079015159644/0.25078585398555875/138.2300367318378;SIE/-0.572247152439008/-11.235898402174337/72.41031708732217/0.33252529850978974/87.80900270140907,SersicSphere,86.4488,2.3550,1.8449,14.4697,79.1445,2.3970,25.4850,61.1986,-61.0584
73,image-000073.png,Raytrace,SIE/8.861363694906299/5.096411681974747/34.24455846722609/0.8739855949769841/127.29651521401924;SIE/45.53657028945201/15.385364520063357/61.86002902252863/0.4436508481311827/22.33886216284152,SersicSphere,111.2721,2.2120,2.2120,31.0923,125.7568,3.8423,63.5912,89.1737,-66.5547
74,image-000074.png,Raytrace,SIE/24.274654192840305/-74.87157287672838/66.33928617728719/0.3946512559391009/166.98290054882148;SIE/-12.383552223119747/-47.32832686681534/46.79872276012043/0.2839235584880839/85.32266654214224,SersicSphere,94.3335,-1.6144,3.8872,28.6744,79.1057,1.3631,38.1506,-94.2438,-4.1130
75,image-000075.png,Raytrace,SIE/-63.97345235376768/40.53770973112911/71.24242852079337/0.6000376531536382/18.834205056333516;SIE/17.562147720969072/61.23249088662724/56.291731904034265/0.8847745224429721/114.50508060539205,SersicSphere,68.7193,-0.4896,1.2831,14.9767,63.6601,1.3203,28.7643,-32.3155,60.6469
76,image-000076.png,Raytrace,SIE/-10.909500378600534/-50.037832551206/56.49223306898376/0.7379230720407395/26.648768674889435;SIE/10.779902631381454/17.919801212882433/44.23690021262657/0.7223849785862293/145.8522837023029,SersicSphere,65.0363,1.3569,1.9101,30.9260,7.1772,2.0991,65.5058,63.5546,13.8035
77,image-000077.png,Raytrace,SIE/-2.934066371561511/2.5729072736688767/72.25865891087919/0.4019771851987838/19.017094614904217;SIE/-33.476341728044005/-20.44062530722571/72.19392722453934/0.5145164987621661/116.0709301410422,SersicSphere,110.7759,-0.9439,3.5179,25.6488,156.6465,4.7491,65.8146,-89.7116,64.9856
78,image-000078.png,Raytrace,SIE/30.760824459663983/-3.3439959388092353/40.56371028515392/0.7906665251644739/105.15191549536327;SIE/-46.3296538058541/-9.953604207204725/69.1256628545834/0.2124885922193987/146.3921755280308,SersicSphere,98.0891,0.5409,2.9524,21.7687,45.6980,2.8831,42.4590,50.5077,84.0859
79,image-000079.png,Raytrace,SIE/52.20665290236129/39.153143030682315/66.27814145193216/0.8144101219504333/12.280962018827973;SIE/-60.71776469773972/19.94622109753221/60.71065943030485/0.6361447090254002/145.83822454122077,SersicSphere,93.2568,-2.8741,3.9671,9.2637,23.5155,4.2650,90.0178,-24.6475,-89.9407
80,image-000080.png,Raytrace,SIE/-2.9145149353100877/-8.145489146704715/44.52115522936742/0.5974986493400049/63.762062186967526;SIE/-8.654867091073799/-5.2610611651725225/29.963238038267022/0.19424974287036864/84.87413118586765,SersicSphere,125.4931,-0.8443,3.3010,37.4868,162.4183,1.9058,72.0686,-93.8051,83.3614
81,image-000081.png,Raytrace,SIE/-20.34425632810176/28.647324208207152/67.25841157689288/0.6599794183341611/117.87475028701593;SIE/23.678515845552383/18.011411058757755/39.93421955557493/0.5929481924023235/47.49687208263539,SersicSphere,11.0350,-2.3617,3.4039,15.7232,133.2908,4.2954,42.8667,-7.7597,-7.8459
82,image-000082.png,Raytrace,SIE/33.87177422204567/-33.77098360689552/60.19225993727645/0.4562626562326719/92.56075456361991;SIE/0.8428374393902415/32.99255445615282/56.96026267677678/0.5189990165769441/10.65992335064289,SersicSphere,109.3771,0.6656,2.9790,31.1900,118.2878,2.4166,42.9911,67.5446,86.0295
