filename,sigma,sigma2,theta,xiX,xiY,alpha[0][1],beta[0][1],alpha[1][0],alpha[1][2],beta[1][2],alpha[2][1],beta[2][1],alpha[2][3],beta[2][3],alpha[3][0],alpha[3][2],beta[3][2],alpha[3][4],beta[3][4],alpha[4][1],beta[4][1],alpha[4][3],beta[4][3],alpha[4][5],beta[4][5]
image-009643.png,2.01697,37.345585,164.07785,-104.98326,-180.3383,48.275093,95.66591,-0.2635731,-0.15494433,0.21312709,-0.0007845789,-0.0015798309,-0.0017388146,-0.0002900768,-3.176432e-06,9.725156e-06,-1.4124955e-05,-6.271127e-06,-1.9307548e-05,-5.654838e-08,-6.020742e-08,2.499633e-07,3.336592e-08,2.3233052e-07,-2.3571224e-07
image-008346.png,2.781001,35.93441,49.766384,95.78377,80.73579,-43.606407,-47.317154,-0.28997564,0.06939715,0.28105357,0.0015616404,0.003574276,0.0019445806,-0.0028786154,-2.2660046e-05,3.072134e-05,-5.1452633e-05,-6.679814e-05,1.2499278e-05,6.619744e-07,6.7024564e-07,-1.4864722e-06,1.9178208e-07,1.5464262e-06,1.0363169e-06
image-005332.png,3.5389361,2.3464413,50.417667,-22.384247,-157.35722,23.388926,92.60398,-0.3596535,-0.34330666,0.09913707,-0.0017897066,-0.0032714086,-0.0018184092,-0.0029600984,-8.624094e-06,4.0545445e-05,-3.4630262e-05,4.133924e-05,-3.9498525e-05,3.4154988e-07,-3.1200966e-07,1.0804982e-06,6.7537843e-07,1.1062033e-06,7.436314e-07
image-002052.png,2.8629534,19.491962,111.851425,-216.04231,43.104294,122.55611,-26.008543,-0.29649293,0.2642714,-0.07000244,-0.0018935621,0.0006125869,0.0014799051,-0.00073755096,-4.6159084e-06,-1.4855262e-05,7.5086136e-06,1.2563324e-05,-9.239776e-06,-1.0179266e-07,7.595044e-09,-1.6827616e-07,1.1664075e-07,1.2965032e-07,-1.3420345e-07
image-004041.png,3.2244086,21.291178,60.893093,-149.86426,100.70109,62.17066,-32.918068,-0.10775548,0.030144436,-0.10324891,-0.00082245044,0.0003546261,-0.00024483472,-0.0008350252,-5.4123766e-06,-3.9928154e-06,4.4451194e-06,-8.447417e-06,-6.7232945e-06,-1.4047306e-07,5.251799e-08,-7.220013e-09,4.79681e-08,-1.8548668e-07,-3.3008476e-09
image-009455.png,1.423675,12.202464,39.273735,-12.146373,157.76392,-3.1861033,-58.34796,-0.1025226,-0.10190923,-0.0072097545,0.0003578714,0.00094923686,2.2613514e-05,0.0009375462,-4.804936e-06,9.335199e-06,-5.877111e-06,1.3842805e-05,-1.0133458e-06,-3.14435e-08,1.4339406e-07,-1.5049382e-07,-1.5436459e-07,-3.3302705e-08,-2.8830112e-07
image-002626.png,2.5789466,25.71922,52.02184,-18.563698,176.94167,-15.968788,-81.14549,-0.23246026,-0.2316466,0.009733519,0.0010878654,0.0018417308,0.00045525067,0.0018289174,-7.597167e-06,1.5913e-05,-1.560253e-05,2.3240618e-05,-9.1009115e-06,-6.4364535e-08,2.1034218e-07,-3.4626737e-07,-2.0454765e-07,-2.1864548e-07,-4.0778713e-07
image-007293.png,1.2592652,21.465166,120.58336,130.16803,61.362698,-78.9124,-58.109833,-0.29149526,0.14141734,0.24318293,0.0024014914,0.00254801,0.00031487423,-0.0031199122,-2.095885e-05,-1.5859187e-06,-4.60042e-05,-3.6204474e-05,4.200467e-05,6.617564e-07,4.922876e-07,-6.0143884e-07,7.4271713e-07,1.3053586e-06,-3.2547976e-07
image-009507.png,1.6718352,11.2426815,17.477272,-209.63441,-9.563667,137.37752,17.01347,-0.17182338,0.16891666,-0.010655125,-0.0011653845,-0.00035874802,0.0011284176,4.0537572e-05,-5.53465e-06,-6.697027e-06,-4.415177e-06,1.1605174e-05,1.3683612e-06,-1.2597127e-07,-3.534845e-08,-5.0564942e-08,-5.891085e-08,1.632668e-07,3.138669e-08
image-003688.png,2.741092,8.644521,48.045593,159.77524,58.698772,-81.82647,-55.09321,-0.18435124,0.107984215,0.1474446,0.0016347899,0.0002939521,-0.0004290679,-0.0015139877,-7.713623e-06,-1.5577973e-05,-6.1661203e-06,-1.5366442e-06,2.181236e-05,1.3576918e-07,2.4457498e-07,3.3231396e-07,1.3028479e-07,1.520055e-07,-4.053414e-07
image-006030.png,1.711482,15.232265,115.59511,-150.53862,-78.55353,82.09757,11.079029,-0.23033233,0.18725267,0.13101178,-0.0027401666,9.360446e-05,0.0018431931,0.0017970104,-2.6073663e-05,-2.7471187e-05,8.091682e-06,2.7770893e-05,3.551418e-05,-1.169391e-06,2.4390073e-07,-3.448365e-07,3.023887e-07,5.5385294e-07,9.499369e-07
image-002963.png,3.6035757,37.559513,99.685616,-120.8209,10.194593,64.6675,-4.5664296,-0.25231236,0.22304787,-0.1095676,-0.0035455145,-0.000623135,0.0027390935,-0.0017293176,-2.5489398e-05,-5.3906155e-05,-9.470704e-06,5.0206734e-05,-4.5080746e-05,-1.1392834e-06,1.6792468e-07,-1.3232736e-06,-1.9354323e-07,1.1631741e-06,-1.5641126e-06
image-003613.png,1.6939563,8.87245,132.37158,138.50299,135.70638,-69.21264,-50.682587,-0.17159873,0.028720787,0.16557658,0.0011148601,0.0007685397,0.0006164985,-0.0011352757,-6.1148858e-06,-3.3538593e-06,-1.0202659e-05,-1.4410403e-05,5.8555147e-06,1.345043e-07,9.020367e-08,-4.8786966e-08,1.1690565e-07,2.4236556e-07,7.935144e-08
