index,filename,model,cluster,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,Raytrace,SIS/11.655138317001004/0.03687304858205759/25.050318741853186;SIS/32.40515496574201/37.32829215214842/59.35731484194241;SIS/17.396823018695628/57.25693903970886/62.48981447879645;SIS/-24.286166902700643/2.8372456533307173/38.72393730239351,SersicSphere,121.3749,98.2660,22.4379,27.3426,43.2169,2.7722,64.6086,-17.4500,120.1140
2,image-000002.png,Raytrace,SIS/-8.471914742186982/3.7326728964261497/20.41759281586468;SIS/-1.037987832141359/0.717174716795282/19.604172039902203;SIS/-0.5097235313602938/14.204828208233195/16.453317371960516;SIS/0.07003096596399276/-1.3668238679311224/3.362064410826486,SersicSphere,14.2061,309.9110,25.4024,27.0713,170.6967,3.1728,68.1968,9.1146,-10.8967
3,image-000003.png,Raytrace,SIS/-12.127981820663177/5.4790450763191245/14.737254989214353;SIS/6.943006029689182/-37.65081518755827/45.073450046291114;SIS/-14.495511019565578/19.211691499480928/24.295432925155264;SIS/20.78945908140775/-21.564895191258465/28.882078590853133,SersicSphere,9.3073,106.5484,15.0476,21.2195,68.2527,3.1354,54.7454,-2.6509,8.9217
4,image-000004.png,Raytrace,SIS/-51.729005854794075/71.85937401588599/74.80777609675604;SIS/9.866706293164007/-31.39399789641875/64.61047078995935;SIS/1.2322648964038914/3.547329682709895/57.74921044310638;SIS/-46.18946814147128/-58.917436956402845/64.17876704588406,SersicSphere,14.3598,155.6539,22.7668,14.4045,178.2195,4.3513,78.0044,-13.0828,5.9198
5,image-000005.png,Raytrace,SIS/27.76890020701229/-31.189871904644974/50.26815963083479;SIS/-4.100113751107205/-31.27857887956755/74.5367226316617;SIS/-0.5650617236096525/2.949339381390559/5.42551019497348;SIS/-15.023859574580973/-3.6125026374186073/28.496793104668924,SersicSphere,79.1339,359.6200,39.8289,28.1220,133.8264,4.2909,38.6387,79.1322,-0.5248
6,image-000006.png,Raytrace,SIS/-22.409949860701136/8.179581674079099/34.41733306893981;SIS/-0.9562817144696432/-0.21867946154640458/62.67809626632017;SIS/3.7372090254015435/-24.445905985382144/30.773965499624655;SIS/-27.537175027731415/-41.646503333719785/72.9666735492582,SersicSphere,53.1303,155.8635,27.1281,38.2942,64.9815,2.9576,38.9587,-48.4853,21.7257
7,image-000007.png,Raytrace,SIS/7.560368765899561/7.285029992768083/22.175391586605677;SIS/-0.128281248126946/-9.732406123775968/10.648572974200686;SIS/5.0018570841217125/-0.27381107542233074/47.88259144512497;SIS/-7.586100311257412/-72.74082923821439/71.37387971284384,SersicSphere,151.1317,14.1869,12.2418,17.3874,153.5274,3.3334,56.8193,146.5224,37.0403
8,image-000008.png,Raytrace,SIS/7.0372284993390375/54.528550308385014/51.83826096811389;SIS/-16.010390342377384/10.691949947470663/17.805746191126502;SIS/-35.989344874526765/10.63136413692877/35.11084722308912;SIS/5.726288869804732/-66.9156665820172/72.97970200919335,SersicSphere,27.6600,45.3659,22.6521,23.2194,46.1764,4.3962,76.0930,19.4332,19.6831
9,image-000009.png,Raytrace,SIS/-14.755377840004954/2.3865280398079807/24.347189692856645;SIS/-9.142535062684129/-9.439557608794063/17.75526530175326;SIS/12.613986622076968/-4.837224000928369/16.186041251126817;SIS/60.586766799951334/-53.295617913380816/68.5340482661558,SersicSphere,63.9587,283.0492,16.6895,24.8892,144.5088,2.8376,67.3466,14.4411,-62.3070
10,image-000010.png,Raytrace,SIS/4.811927813859409/-3.051528046281151/55.03320163346082;SIS/5.478417298624521/31.33716416142858/72.82632949932534;SIS/21.56815072687118/5.529357308761279/25.47971446931976;SIS/9.981372917218359/2.006843240997287/36.04943477460152,SersicSphere,12.3175,119.9033,13.6337,23.4777,171.6951,3.4296,67.0679,-6.1408,10.6777
11,image-000011.png,Raytrace,SIS/16.218248421694415/-7.466174278155284/34.928805903398406;SIS/0.825986728592654/-32.67607048059242/36.19601643202347;SIS/-2.6014495703821465/-10.225351191439628/21.13856865255594;SIS/26.889398049526083/12.234322134276779/59.163319969466535,SersicSphere,120.4778,84.5616,48.5035,14.1122,67.5139,1.7051,46.0831,11.4184,119.9355
12,image-000012.png,Raytrace,SIS/9.966389499388933/6.6421873322731875/12.590163324176132;SIS/-2.109589911496096/17.471598699786938/23.000249283905344;SIS/-12.619365622170486/-70.70493656787448/67.4894926297285;SIS/-9.99381804649923/-2.263352727396454/8.795264167649677,SersicSphere,65.8726,246.0185,45.5100,35.3838,25.8610,2.8627,25.1758,-26.7734,-60.1862
13,image-000013.png,Raytrace,SIS/27.49913682297841/39.77686031920324/44.69652235242725;SIS/-58.935282152972/15.476692348013936/70.89489754272122;SIS/-1.2445393101258406/-2.10826228295769/39.25355955158261;SIS/11.742135071837282/10.678742393412577/28.051221942556225,SersicSphere,4.9470,297.5857,15.1220,4.4826,146.3683,2.3811,22.5871,2.2909,-4.3847
14,image-000014.png,Raytrace,SIS/6.131242891465464/25.322337223732543/61.11239246108833;SIS/3.3272887374295355/-5.371033623487712/21.78047553668113;SIS/2.6705087051501586/-9.327245406676468/8.815849322182485;SIS/25.310024659742254/-2.417316029680758/24.721122596943985,SersicSphere,103.0429,178.6177,9.1924,3.1759,111.4200,4.1872,62.3506,-103.0129,2.4858
15,image-000015.png,Raytrace,SIS/-0.6519136750594156/4.406151012986124/13.009333651232737;SIS/-8.048559959184596/8.184753398139815/15.867582887903122;SIS/2.4496159967553277/-32.57472854733337/53.583644616769696;SIS/2.6491315230823975/26.328545754692648/34.20157078997115,SersicSphere,10.8985,147.8232,38.6868,10.9533,131.4780,1.3342,22.9842,-9.2246,5.8038
16,image-000016.png,Raytrace,SIS/-8.51660574970215/5.152649825908169/19.796998921927514;SIS/-6.133379356048498/-0.5255378374282779/63.978207929775955;SIS/19.571180188300804/5.865580612779492/27.073417256917946;SIS/0.0817742951018602/-0.008542938358347936/40.256207887381656,SersicSphere,111.7239,323.0613,9.1126,31.0610,7.4079,1.3328,54.5968,89.2986,-67.1417
17,image-000017.png,Raytrace,SIS/49.970814971821895/19.617884750190864/59.74583522227124;SIS/15.706606045967314/-36.387806503774186/72.40524936370966;SIS/-6.895460346252811/0.46966630465575615/12.460858291250329;SIS/-42.943904606172744/59.932398595799754/70.97136363577418,SersicSphere,30.2425,180.0136,6.5517,28.4365,137.3467,1.9525,78.2228,-30.2425,-0.0072
18,image-000018.png,Raytrace,SIS/25.598413925547515/-6.4127408990280115/49.83470336950186;SIS/-3.26085092619486/-6.948289263691775/18.338319420835393;SIS/-7.481932264246282/17.459627965126636/37.33446661975666;SIS/25.116386410883923/-16.698786800598842/26.45635832897787,SersicSphere,111.4346,3.5011,47.0117,32.6121,89.2975,3.2021,79.7369,111.2266,6.8051
19,image-000019.png,Raytrace,SIS/-4.000298408894514/9.24284841032199/30.237427832663556;SIS/0.34555796635085895/-1.4657232601635979/3.6209215687528227;SIS/-39.19079194770028/7.480719426668449/43.741191314717575;SIS/9.682771442611745/24.301135393077136/37.14699940362485,SersicSphere,55.3437,26.9548,25.9747,18.6451,169.5869,4.6451,76.5001,49.3314,25.0866
20,image-000020.png,Raytrace,SIS/-14.226365360830059/-1.5559361906842248/41.719192514424215;SIS/-11.811411085486275/17.680367895255326/42.679784633210254;SIS/27.14490274451929/-75.558542204204/70.9115913979206;SIS/-8.393545571599253/13.608105287043923/21.524420944596663,SersicSphere,94.6939,70.5955,42.5768,19.4306,54.0238,3.0807,55.4402,31.4607,89.3149
21,image-000021.png,Raytrace,SIS/-0.3906237780021732/-0.17984341608817264/3.7828346236546757;SIS/-34.280067868268524/-23.52863008443291/54.88951116250909;SIS/-5.188857924172392/19.62277566636007/74.06268747628205;SIS/-44.20596913105461/4.960659940189205/50.66188408073396,SersicSphere,11.1825,267.9872,39.4876,26.4637,37.3137,4.8412,41.1803,-0.3928,-11.1756
22,image-000022.png,Raytrace,SIS/18.83315165503121/-37.33363103183363/63.96061174111897;SIS/22.980614425892355/15.29034051889796/38.30422924541817;SIS/-6.210602763630305/-7.067883087278463/41.52297202802639;SIS/-0.5698834029297662/-0.38883057015610023/4.304841020936986,SersicSphere,4.5774,225.2499,31.2014,33.8215,108.8352,2.3292,55.5898,-3.2225,-3.2508
23,image-000023.png,Raytrace,SIS/-26.332689777339/-17.90601130602466/48.77112361904474;SIS/-31.069906306301984/31.276181950261947/67.06424118777137;SIS/-21.088688289791484/-53.20543206973786/62.16031484588953;SIS/-3.288550481443267/3.0141327318737883/51.130791772332266,SersicSphere,136.8913,124.2873,36.1409,9.1938,146.8329,2.3282,29.1914,-77.1167,113.1028
24,image-000024.png,Raytrace,SIS/0.11422290097197153/-0.696253849178467/10.178430440209386;SIS/5.143063173394992/-0.8939524335347198/16.62470406945289;SIS/2.257683590942885/5.178732647556762/15.047139308463494;SIS/6.769127348211303/54.18260244275174/62.05912459145739,SersicSphere,21.9710,171.0291,21.0711,26.2858,163.4365,2.8556,42.6087,-21.7022,3.4260
25,image-000025.png,Raytrace,SIS/7.294854214806521/9.239390288121509/18.008953267557402;SIS/-0.05264876095495484/11.944032731642858/18.332578814338767;SIS/-2.5756180978472325/-4.402511902682562/7.411584348725704;SIS/-23.193201936668814/-0.0001659013781517228/65.21300962278733,SersicSphere,58.0706,236.5110,28.4322,16.1722,153.0425,3.3741,58.5042,-32.0420,-48.4304
26,image-000026.png,Raytrace,SIS/-7.008393739863538/12.320208175144044/61.87438488379205;SIS/-16.292782075341155/5.020042644012878/39.88063641221485;SIS/1.26634972100706/-6.091987819651238/53.159374914612755;SIS/10.930572210851988/26.939874644266133/31.362039710841017,SersicSphere,50.4231,24.0692,42.7379,22.2632,139.3077,2.3626,67.7508,46.0390,20.5645
27,image-000027.png,Raytrace,SIS/16.346666325322115/-18.292617728246658/46.76132948789261;SIS/5.821834285905632/-8.530771193810608/67.23615795790197;SIS/67.62937055112849/-47.04764917811925/70.82474437264317;SIS/-4.466685673716929/2.123368681984198/72.26107439704327,SersicSphere,122.8750,37.7191,34.1756,20.3038,56.0444,4.7603,27.0359,97.1965,75.1738
28,image-000028.png,Raytrace,SIS/-14.832857994855804/-2.6942257749711196/15.524644305690865;SIS/-38.17283311049961/4.074893866880837/35.372835194901754;SIS/5.778864307185926/-14.110682174712005/41.34553552355931;SIS/-1.0920498997005803/0.7572063143092296/46.16378571913542,SersicSphere,14.5788,207.1051,15.0472,23.4471,8.7753,1.8066,29.3624,-12.9777,-6.6425
29,image-000029.png,Raytrace,SIS/0.9006603606313832/10.448967644757905/33.4227242816593;SIS/-20.27433572645377/56.772009023545586/67.58390459754814;SIS/31.277538933320898/-37.444152028734166/48.70014796763522;SIS/1.746473235777927/-1.6508109146842185/12.669429302120808,SersicSphere,39.0885,283.4939,46.9883,5.2568,58.5497,3.1617,60.4352,9.1210,-38.0094
30,image-000030.png,Raytrace,SIS/-14.512226530307522/22.606719582276934/28.20629995269361;SIS/4.769704561098172/-2.8032505369478717/37.448020602655376;SIS/-23.52601776255834/-25.346998131962593/29.823601318235674;SIS/-12.971970053952049/-1.6538177529983111/36.73047765296128,SersicSphere,100.8839,276.6596,24.8342,6.6177,177.8091,4.1766,53.6543,11.6995,-100.2032
31,image-000031.png,Raytrace,SIS/-67.98064417215049/-12.09385844597684/73.26356292921523;SIS/21.184966061052716/15.9664238727875/31.658353946130205;SIS/-6.7720083264199955/64.25566501577161/56.12120932723872;SIS/-13.887513190267075/-37.6044872377604/36.926344902167,SersicSphere,90.5344,6.0724,41.6484,21.3260,150.7504,2.3719,75.3845,90.0264,9.5772
32,image-000032.png,Raytrace,SIS/12.543428858719947/36.23371293218037/59.82426195875459;SIS/17.348326188287526/-19.148138991278056/50.13571618967051;SIS/-11.55475586969003/2.489476391290507/32.71512333598103;SIS/38.54238636946254/-26.668189458862816/46.16491218477381,SersicSphere,5.0667,276.6121,5.0365,5.6333,14.9488,3.4377,79.7804,0.5834,-5.0330
33,image-000033.png,Raytrace,SIS/-26.60222415235654/-4.30968138205193/47.3615565876879;SIS/-38.615454861806434/-18.055429842833526/40.264559114488534;SIS/-9.130328748753518/5.434334044047762/70.62551969506485;SIS/7.128140516104724/-10.218965186041874/34.964174652073154,SersicSphere,124.0019,30.7554,45.9609,12.0202,29.6531,3.5807,65.2484,106.5620,63.4114
34,image-000034.png,Raytrace,SIS/-5.097346919128701/-27.06932886086527/30.48859314201986;SIS/40.454620519159626/-34.653993119746126/69.15740230955036;SIS/-3.866401620583344/-0.7429833391857913/13.292152525269493;SIS/26.843007403282698/-3.7908305577727095/50.87229186656741,SersicSphere,46.0962,317.8462,44.3219,35.3290,7.9747,3.1296,33.9759,34.1733,-30.9362
35,image-000035.png,Raytrace,SIS/10.799435880044479/15.18027542556611/58.18906170214268;SIS/9.382634893051087/-1.067441418157057/14.623943647634661;SIS/43.62892758040853/18.590326909204293/48.45889211551618;SIS/-0.8101180918158569/-5.0645273956222665/10.21285193837151,SersicSphere,47.4243,142.9362,14.2625,23.5677,11.6022,4.7580,36.7855,-37.8429,28.5828
36,image-000036.png,Raytrace,SIS/53.55462507921024/29.547107109894323/51.808965314914715;SIS/-37.855193034516574/-20.597193809348138/41.84448933594703;SIS/6.4571584049080455/-22.022357535239568/45.09546627034858;SIS/23.500859612646284/15.439734130230692/32.75956369103457,SersicSphere,45.5996,128.7890,8.7945,33.7473,149.1601,2.0299,72.5872,-28.5661,35.5430
37,image-000037.png,Raytrace,SIS/5.425479746160104/-7.625958250916944/9.385484659414448;SIS/15.34075598460058/6.394754442346682/44.44938827807275;SIS/-48.38539758729612/36.19436017882378/69.88624971269532;SIS/58.12415242652644/30.533371449920427/57.371959502484906,SersicSphere,49.0988,219.7368,20.3714,30.3110,162.5411,1.1938,79.7211,-37.7565,-31.3870
38,image-000038.png,Raytrace,SIS/17.729628332636285/30.964228779278546/50.807417613119796;SIS/36.83910857473984/28.89720704334719/44.84890089403827;SIS/-39.790615653299696/5.833573856224089/37.389848514735384;SIS/4.745875825667453/-4.123870134130584/28.69648448864319,SersicSphere,38.4076,92.6812,8.3247,4.4667,50.9868,3.5275,36.1899,-1.7967,38.3656
39,image-000039.png,Raytrace,SIS/-21.18061696286045/-20.102171250745798/58.93019199222795;SIS/0.23786745941327575/-2.323487633099976/27.585943253612296;SIS/-4.91114554418776/5.470539606455945/9.871405910517886;SIS/0.5202598278309427/1.2304490094869005/4.357853819542365,SersicSphere,35.0811,315.0500,25.6256,21.4205,126.8184,3.3045,62.7425,24.8278,-24.7844
40,image-000040.png,Raytrace,SIS/-4.909148895035411/-0.6695386022780654/14.85710454771457;SIS/-6.650555641872294/21.1827203339872/22.651602877674918;SIS/-20.2034871362233/-17.732970730492777/40.77372424242879;SIS/8.336819960865974/-15.922777236895431/19.665447849088398,SersicSphere,10.7058,244.1243,9.6382,12.3576,146.6447,3.3686,68.8038,-4.6722,-9.6325
41,image-000041.png,Raytrace,SIS/4.400109091516439/-22.688328325145058/22.95057943636314;SIS/4.091985878350763/28.39520440732208/70.43753193537472;SIS/3.080435979251864/-5.440117657188464/23.069652166798292;SIS/8.096095327882344/3.3008099908671173/28.847186530269894,SersicSphere,39.7248,89.7286,49.9487,29.9017,107.8925,3.6137,68.7983,0.1882,39.7243
42,image-000042.png,Raytrace,SIS/-21.42683455198433/9.095502031382395/36.79002823527219;SIS/-51.48412824805056/-48.12021669788314/68.52363553258114;SIS/-1.0073702478860171/-31.073206697310916/71.5555163994936;SIS/-9.616740637459777/10.289071001350209/55.936647056773396,SersicSphere,75.7937,129.3828,15.9573,34.5616,54.9043,4.3441,78.9861,-48.0909,58.5828
43,image-000043.png,Raytrace,SIS/-3.207915581227389/-8.93548772535549/8.900930584542706;SIS/19.241075394686696/-5.922881866251482/49.95363840434559;SIS/-5.555646734836006/0.5944826785015791/5.027828919837476;SIS/0.7384057648035942/-79.2218328583856/67.74314268426862,SersicSphere,76.8714,336.0660,18.0777,6.8607,134.1037,2.5982,24.8031,70.2614,-31.1855
44,image-000044.png,Raytrace,SIS/-14.159792329381872/-10.939107323754218/30.861948779177244;SIS/-35.24868732713807/34.561180490788914/47.81533836452184;SIS/-16.05222441852819/16.73120581844699/21.638307074867694;SIS/6.69442879816448/-30.492937300220767/44.548069714210534,SersicSphere,34.7779,128.0322,21.5869,31.0300,21.4560,1.4091,58.8771,-21.4268,27.3933
45,image-000045.png,Raytrace,SIS/-14.892150272187989/-32.75615857850073/32.53570608025096;SIS/-11.279731694795446/-14.983534741531601/25.05711701661654;SIS/2.131728929258854/33.40384266000701/52.667765764701606;SIS/-15.989756030487092/-0.4570463915740288/28.42117300351344,SersicSphere,1.4796,324.7840,44.6455,13.2920,48.8969,3.9659,66.7765,1.2088,-0.8532
46,image-000046.png,Raytrace,SIS/4.790313816022154/-2.6025404069225835/5.322756245818144;SIS/0.05675498945677313/-0.009776814142157175/51.52936433393123;SIS/-0.3905056378417278/-0.15173367870848045/6.299094639063751;SIS/-8.906968453397674/0.6285872431151757/16.735684692054203,SersicSphere,95.2577,269.9552,24.9306,10.5372,135.5126,3.8345,51.2774,-0.0745,-95.2577
47,image-000047.png,Raytrace,SIS/8.253372341414703/9.561846232160267/73.21194968981885;SIS/13.577763891419657/-6.971235797781178/40.654834203682086;SIS/6.11493091181362/-13.04044677309838/19.648871315312835;SIS/18.575255369440367/-35.932919920200234/53.112780665850615,SersicSphere,15.8256,220.4094,18.8746,38.2499,22.3068,4.0312,37.5960,-12.0501,-10.2589
48,image-000048.png,Raytrace,SIS/-3.946498661818929/-37.17736909136775/60.490560069388444;SIS/25.41303335932535/10.145777814415895/41.35480937940729;SIS/-28.96473858040398/-35.996103866116385/55.220896861631836;SIS/-44.513633761552335/-7.39547199062293/67.9365781252834,SersicSphere,156.9108,71.7059,26.4026,22.2168,135.5253,2.7982,78.1917,49.2533,148.9802
49,image-000049.png,Raytrace,SIS/17.499421706105835/34.2396443161348/43.78397612709436;SIS/27.724430485807243/4.167473444382103/31.105041055223058;SIS/-11.689155818751646/-1.460295148152539/63.068207040987225;SIS/3.8372712554912773/2.0362789270136576/58.33349818706558,SersicSphere,50.0680,289.3190,26.2790,29.7848,57.9572,2.6577,28.2992,16.5639,-47.2488
50,image-000050.png,Raytrace,SIS/19.10236639362676/-11.010825942935204/41.12930826412527;SIS/28.70282794268638/19.477134842974774/32.699342746016015;SIS/-20.265838440775/13.330077137088193/27.475738438541097;SIS/-38.87298633688351/-33.08156080831863/71.03430745578392,SersicSphere,13.8138,255.9660,20.5555,36.3366,116.7113,3.2048,76.7502,-3.3498,-13.4015
51,image-000051.png,Raytrace,SIS/-2.336552466523264/-33.907893440238496/39.79080237583432;SIS/-6.368402046511115/4.43213590755416/21.625534206595145;SIS/-7.22348852757071/-21.569354002443593/35.8261946585347;SIS/-56.597268747124424/-11.021268760656435/64.7144573952045,SersicSphere,57.6200,136.1206,33.0529,14.3954,78.0133,1.3976,37.7903,-41.5325,39.9388
52,image-000052.png,Raytrace,SIS/-0.31620339006823917/0.9137077654929677/15.001453502822843;SIS/-2.5744623182023543/-5.5710782569476205/14.681969367719528;SIS/-2.1605911015076416/-2.132791722224676/9.358815098816288;SIS/34.70500207365368/20.290173339372686/36.91186063068581,SersicSphere,3.6336,307.9132,29.3597,8.5273,40.9192,1.0845,78.7110,2.2327,-2.8667
